ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2022-04-15T18:18:00.000,3.37,309.37,2.14,-2.61
2022-04-15T18:20:00.000,4.66,351.72,4.61,-0.67
2022-04-15T18:22:00.000,5.46,345.27,5.28,-1.39
2022-04-15T18:24:00.000,0.98,119.42,-0.48,0.86
2022-04-15T18:26:00.000,4.88,298.65,2.34,-4.28
2022-04-15T18:28:00.000,11.14,14.87,10.77,2.86
2022-04-15T18:30:00.000,0.76,291.25,0.28,-0.71
2022-04-15T18:32:00.000,0.13,46.19,0.09,0.09
2022-04-15T18:34:00.000,1.99,9.57,1.96,0.33
2022-04-15T18:36:00.000,1.11,313.65,0.77,-0.80
2022-04-15T18:38:00.000,1.29,8.88,1.28,0.20
2022-04-15T18:40:00.000,4.47,6.98,4.44,0.54
2022-04-15T18:42:00.000,1.32,295.36,0.57,-1.19
2022-04-15T18:44:00.000,4.64,276.59,0.53,-4.61
2022-04-15T18:46:00.000,1.44,332.02,1.27,-0.68
2022-04-15T18:48:00.000,7.71,339.25,7.21,-2.73
2022-04-15T18:50:00.000,3.91,317.03,2.86,-2.66
2022-04-15T18:52:00.000,3.38,239.82,-1.70,-2.92
2022-04-15T18:54:00.000,2.82,183.17,-2.82,-0.16
2022-04-15T18:56:00.000,1.82,281.46,0.36,-1.78
2022-04-15T18:58:00.000,4.31,202.25,-3.99,-1.63
2022-04-15T19:00:00.000,1.93,305.28,1.11,-1.57
2022-04-15T19:02:00.000,2.82,216.27,-2.27,-1.67
2022-04-15T19:04:00.000,1.44,152.58,-1.28,0.66
2022-04-15T19:06:00.000,3.44,163.64,-3.30,0.97
2022-04-15T19:08:00.000,1.11,236.06,-0.62,-0.92
2022-04-15T19:10:00.000,0.33,308.33,0.20,-0.26
2022-04-15T19:12:00.000,3.08,302.47,1.65,-2.60
2022-04-15T19:14:00.000,2.24,220.71,-1.70,-1.46
2022-04-15T19:16:00.000,5.18,293.05,2.03,-4.76
2022-04-15T19:18:00.000,4.02,239.87,-2.02,-3.48
2022-04-15T19:20:00.000,3.16,245.01,-1.34,-2.86
2022-04-15T19:22:00.000,2.85,94.90,-0.24,2.84
2022-04-15T19:24:00.000,1.83,258.64,-0.36,-1.80
2022-04-15T19:26:00.000,3.77,326.35,3.14,-2.09
2022-04-15T19:28:00.000,1.17,277.99,0.16,-1.15
2022-04-15T19:30:00.000,1.67,330.05,1.45,-0.83
2022-04-15T19:32:00.000,3.71,331.53,3.26,-1.77
2022-04-15T19:34:00.000,1.38,319.78,1.05,-0.89
2022-04-15T19:36:00.000,3.85,204.52,-3.50,-1.60
2022-04-15T19:38:00.000,1.70,271.75,0.05,-1.70
2022-04-15T19:40:00.000,5.13,36.99,4.10,3.09
2022-04-15T19:42:00.000,1.47,24.50,1.33,0.61
2022-04-15T19:44:00.000,1.92,250.51,-0.64,-1.81
2022-04-15T19:46:00.000,6.15,278.87,0.95,-6.08
2022-04-15T19:48:00.000,5.52,243.25,-2.48,-4.93
2022-04-15T19:50:00.000,1.55,327.31,1.30,-0.84
2022-04-15T19:52:00.000,3.68,270.12,0.01,-3.68
2022-04-15T19:54:00.000,1.93,290.00,0.66,-1.82
2022-04-15T19:56:00.000,5.41,234.37,-3.15,-4.40
2022-04-15T19:58:00.000,3.11,276.74,0.36,-3.08
2022-04-15T20:00:00.000,2.67,312.54,1.80,-1.97
2022-04-15T20:02:00.000,7.99,271.18,0.17,-7.99
2022-04-15T20:04:00.000,3.59,295.82,1.56,-3.23
2022-04-15T20:06:00.000,4.08,230.90,-2.57,-3.17
2022-04-15T20:08:00.000,10.54,321.74,8.28,-6.53
2022-04-15T20:10:00.000,5.20,299.35,2.55,-4.53
2022-04-15T20:12:00.000,5.46,240.32,-2.70,-4.74
2022-04-15T20:14:00.000,4.82,305.30,2.78,-3.93
2022-04-15T20:16:00.000,7.39,314.34,5.16,-5.28
2022-04-15T20:18:00.000,4.67,273.62,0.30,-4.66
2022-04-15T20:20:00.000,2.59,257.37,-0.57,-2.52
2022-04-15T20:22:00.000,3.97,303.67,2.20,-3.30
2022-04-15T20:24:00.000,2.94,329.10,2.52,-1.51
2022-04-15T20:26:00.000,3.77,287.07,1.11,-3.60
2022-04-15T20:28:00.000,3.20,234.62,-1.85,-2.61
2022-04-15T20:30:00.000,4.12,267.31,-0.19,-4.11
2022-04-15T20:32:00.000,1.08,291.27,0.39,-1.01
2022-04-15T20:34:00.000,1.25,184.15,-1.24,-0.09
2022-04-15T20:36:00.000,1.91,286.02,0.53,-1.83
2022-04-15T20:38:00.000,2.76,295.54,1.19,-2.49
2022-04-15T20:40:00.000,2.47,288.00,0.76,-2.35
2022-04-15T20:42:00.000,3.31,271.84,0.11,-3.31
2022-04-15T20:44:00.000,1.56,90.68,-0.02,1.56
2022-04-15T20:46:00.000,1.47,277.11,0.18,-1.46
2022-04-15T20:48:00.000,0.29,45.89,0.20,0.21
2022-04-15T20:50:00.000,2.21,68.65,0.80,2.06
2022-04-15T20:52:00.000,3.32,279.80,0.57,-3.28
2022-04-15T20:54:00.000,0.72,271.94,0.02,-0.72
2022-04-15T20:56:00.000,9.28,6.69,9.22,1.08
2022-04-15T20:58:00.000,0.28,151.89,-0.25,0.13
2022-04-15T21:00:00.000,1.55,298.73,0.75,-1.36
2022-04-15T21:02:00.000,4.01,16.02,3.86,1.11
2022-04-15T21:04:00.000,2.42,73.77,0.68,2.32
2022-04-15T21:06:00.000,3.35,42.91,2.45,2.28
2022-04-15T21:08:00.000,1.01,228.28,-0.67,-0.75
2022-04-15T21:10:00.000,0.93,295.25,0.40,-0.84
2022-04-15T21:12:00.000,1.62,15.95,1.56,0.45
2022-04-15T21:14:00.000,3.72,6.99,3.69,0.45
2022-04-15T21:16:00.000,6.67,37.08,5.32,4.02
2022-04-15T21:18:00.000,6.31,27.30,5.61,2.89
2022-04-15T21:20:00.000,6.71,32.80,5.64,3.63
2022-04-15T21:22:00.000,8.90,21.19,8.30,3.22
2022-04-15T21:24:00.000,1.05,36.95,0.84,0.63
2022-04-15T21:26:00.000,4.14,6.22,4.11,0.45
2022-04-15T21:28:00.000,3.24,351.84,3.21,-0.46
2022-04-15T21:30:00.000,2.92,339.65,2.74,-1.02
2022-04-15T21:32:00.000,1.09,295.79,0.48,-0.98
2022-04-15T21:34:00.000,2.67,6.32,2.66,0.29
2022-04-15T21:36:00.000,2.10,257.10,-0.47,-2.05
2022-04-15T21:38:00.000,1.82,94.04,-0.13,1.81
2022-04-15T21:40:00.000,2.36,213.19,-1.98,-1.29
2022-04-15T21:42:00.000,0.09,331.36,0.08,-0.04
2022-04-15T21:44:00.000,3.13,94.04,-0.22,3.12
2022-04-15T21:46:00.000,0.61,11.55,0.60,0.12
2022-04-15T21:48:00.000,1.58,178.52,-1.58,0.04
2022-04-15T21:50:00.000,2.34,1.61,2.34,0.07
2022-04-15T21:52:00.000,2.55,333.61,2.29,-1.13
2022-04-15T21:54:00.000,2.55,334.73,2.31,-1.09
2022-04-15T21:56:00.000,1.05,326.02,0.87,-0.59
2022-04-15T21:58:00.000,1.03,341.06,0.97,-0.33
2022-04-15T22:00:00.000,0.76,298.32,0.36,-0.67
2022-04-15T22:02:00.000,0.32,275.71,0.03,-0.32
2022-04-15T22:04:00.000,2.62,340.44,2.47,-0.88
2022-04-15T22:06:00.000,1.86,345.04,1.79,-0.48
2022-04-15T22:08:00.000,3.56,193.04,-3.47,-0.80
2022-04-15T22:10:00.000,4.76,346.30,4.62,-1.13
2022-04-15T22:12:00.000,3.53,0.39,3.53,0.02
2022-04-15T22:14:00.000,2.46,331.39,2.16,-1.18
2022-04-15T22:16:00.000,1.42,284.31,0.35,-1.38
2022-04-15T22:18:00.000,0.57,349.13,0.56,-0.11
2022-04-15T22:20:00.000,1.77,207.17,-1.58,-0.81
2022-04-15T22:22:00.000,0.19,325.43,0.16,-0.11
2022-04-15T22:24:00.000,3.11,131.53,-2.06,2.33
2022-04-15T22:26:00.000,4.19,117.63,-1.94,3.71
2022-04-15T22:28:00.000,1.86,88.04,0.06,1.85
2022-04-15T22:30:00.000,1.04,131.86,-0.69,0.78
2022-04-15T22:32:00.000,1.30,92.64,-0.06,1.30
2022-04-15T22:34:00.000,1.32,150.96,-1.16,0.64
2022-04-15T22:36:00.000,3.24,77.65,0.69,3.16
2022-04-15T22:38:00.000,0.90,356.20,0.89,-0.06
2022-04-15T22:40:00.000,1.60,9.83,1.57,0.27
2022-04-15T22:42:00.000,1.82,72.68,0.54,1.74
2022-04-15T22:44:00.000,0.60,14.61,0.58,0.15
2022-04-15T22:46:00.000,3.19,21.32,2.97,1.16
2022-04-15T22:48:00.000,1.66,354.53,1.65,-0.16
2022-04-15T22:50:00.000,4.13,49.32,2.69,3.13
2022-04-15T22:52:00.000,3.17,38.81,2.47,1.98
