ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2022-05-19T22:18:00.000,1.25,331.26,1.09,-0.60
2022-05-19T22:20:00.000,0.86,221.72,-0.64,-0.57
2022-05-19T22:22:00.000,1.39,297.41,0.64,-1.23
2022-05-19T22:24:00.000,1.81,302.92,0.98,-1.52
2022-05-19T22:26:00.000,1.31,225.10,-0.93,-0.93
2022-05-19T22:28:00.000,1.75,264.57,-0.17,-1.74
2022-05-19T22:30:00.000,1.40,287.98,0.43,-1.33
2022-05-19T22:32:00.000,1.04,334.49,0.94,-0.45
2022-05-19T22:34:00.000,1.53,232.43,-0.93,-1.21
2022-05-19T22:36:00.000,1.34,352.26,1.32,-0.18
2022-05-19T22:38:00.000,1.12,280.94,0.21,-1.10
2022-05-19T22:40:00.000,0.76,312.05,0.51,-0.57
2022-05-19T22:42:00.000,1.19,248.55,-0.44,-1.11
2022-05-19T22:44:00.000,1.48,250.36,-0.50,-1.39
2022-05-19T22:46:00.000,2.42,177.09,-2.42,0.12
2022-05-19T22:48:00.000,1.02,321.89,0.80,-0.63
2022-05-19T22:50:00.000,1.27,195.96,-1.22,-0.35
2022-05-19T22:52:00.000,2.14,226.62,-1.47,-1.56
2022-05-19T22:54:00.000,2.15,242.25,-1.00,-1.90
2022-05-19T22:56:00.000,0.49,308.36,0.30,-0.38
2022-05-19T22:58:00.000,0.57,276.35,0.06,-0.57
2022-05-19T23:00:00.000,0.91,212.79,-0.76,-0.49
2022-05-19T23:02:00.000,2.11,255.33,-0.53,-2.04
2022-05-19T23:04:00.000,3.23,223.74,-2.33,-2.23
2022-05-19T23:06:00.000,4.39,254.21,-1.19,-4.22
2022-05-19T23:08:00.000,3.99,216.26,-3.22,-2.36
2022-05-19T23:10:00.000,2.98,231.52,-1.85,-2.33
2022-05-19T23:12:00.000,6.54,225.21,-4.61,-4.64
2022-05-19T23:14:00.000,3.94,229.10,-2.58,-2.98
2022-05-19T23:16:00.000,5.43,220.46,-4.13,-3.53
2022-05-19T23:18:00.000,5.00,216.76,-4.00,-2.99
2022-05-19T23:20:00.000,3.71,221.78,-2.77,-2.47
2022-05-19T23:22:00.000,5.34,222.39,-3.95,-3.60
2022-05-19T23:24:00.000,3.41,216.78,-2.73,-2.04
2022-05-19T23:26:00.000,3.50,237.01,-1.91,-2.94
2022-05-19T23:28:00.000,2.69,228.41,-1.79,-2.02
2022-05-19T23:30:00.000,4.54,196.95,-4.35,-1.32
2022-05-19T23:32:00.000,3.19,211.52,-2.72,-1.67
2022-05-19T23:34:00.000,3.39,201.80,-3.14,-1.26
2022-05-19T23:36:00.000,1.74,213.58,-1.45,-0.96
2022-05-19T23:38:00.000,0.89,200.63,-0.84,-0.31
2022-05-19T23:40:00.000,3.07,212.40,-2.59,-1.65
2022-05-19T23:42:00.000,1.36,250.18,-0.46,-1.28
2022-05-19T23:44:00.000,0.59,260.92,-0.09,-0.58
2022-05-19T23:46:00.000,1.59,222.59,-1.17,-1.08
2022-05-19T23:48:00.000,1.58,284.85,0.41,-1.53
2022-05-19T23:50:00.000,1.23,251.51,-0.39,-1.17
2022-05-19T23:52:00.000,1.19,216.64,-0.95,-0.71
2022-05-19T23:54:00.000,2.71,234.73,-1.56,-2.21
2022-05-19T23:56:00.000,2.72,234.44,-1.58,-2.21
2022-05-19T23:58:00.000,0.76,236.55,-0.42,-0.63
2022-05-20T00:00:00.000,1.42,264.56,-0.14,-1.42
2022-05-20T00:02:00.000,1.10,291.77,0.41,-1.02
2022-05-20T00:04:00.000,0.59,209.62,-0.51,-0.29
2022-05-20T00:06:00.000,0.59,207.96,-0.52,-0.28
2022-05-20T00:08:00.000,2.60,341.91,2.47,-0.81
2022-05-20T00:10:00.000,1.33,250.68,-0.44,-1.26
2022-05-20T00:12:00.000,0.57,232.32,-0.35,-0.45
2022-05-20T00:14:00.000,0.15,150.75,-0.13,0.08
2022-05-20T00:16:00.000,1.35,273.32,0.08,-1.35
2022-05-20T00:18:00.000,1.98,162.37,-1.89,0.60
2022-05-20T00:20:00.000,0.67,256.78,-0.15,-0.65
2022-05-20T00:22:00.000,1.02,305.53,0.59,-0.83
2022-05-20T00:24:00.000,0.94,240.53,-0.46,-0.82
2022-05-20T00:26:00.000,1.23,329.59,1.06,-0.62
2022-05-20T00:28:00.000,1.44,280.22,0.25,-1.41
2022-05-20T00:30:00.000,2.18,335.86,1.99,-0.89
2022-05-20T00:32:00.000,2.19,350.03,2.16,-0.38
2022-05-20T00:34:00.000,1.20,223.38,-0.87,-0.82
2022-05-20T00:36:00.000,1.74,219.37,-1.34,-1.10
2022-05-20T00:38:00.000,1.00,281.41,0.20,-0.98
2022-05-20T00:40:00.000,1.06,221.60,-0.79,-0.71
2022-05-20T00:42:00.000,1.71,217.66,-1.35,-1.04
2022-05-20T00:44:00.000,2.09,225.96,-1.45,-1.50
2022-05-20T00:46:00.000,1.72,220.06,-1.32,-1.11
2022-05-20T00:48:00.000,1.06,283.16,0.24,-1.03
2022-05-20T00:50:00.000,2.85,283.03,0.64,-2.77
2022-05-20T00:52:00.000,3.73,259.28,-0.69,-3.66
2022-05-20T00:54:00.000,2.16,269.14,-0.03,-2.16
2022-05-20T00:56:00.000,3.73,236.68,-2.05,-3.12
2022-05-20T00:58:00.000,2.60,249.12,-0.92,-2.42
2022-05-20T01:00:00.000,3.54,239.11,-1.82,-3.04
2022-05-20T01:02:00.000,3.62,229.27,-2.36,-2.74
2022-05-20T01:04:00.000,3.96,242.50,-1.83,-3.51
2022-05-20T01:06:00.000,2.42,237.44,-1.30,-2.04
2022-05-20T01:08:00.000,2.48,280.52,0.45,-2.44
2022-05-20T01:10:00.000,3.87,232.23,-2.37,-3.06
2022-05-20T01:12:00.000,2.02,243.50,-0.90,-1.81
2022-05-20T01:14:00.000,2.67,225.65,-1.87,-1.91
2022-05-20T01:16:00.000,3.67,208.25,-3.23,-1.74
2022-05-20T01:18:00.000,2.48,226.69,-1.70,-1.81
2022-05-20T01:20:00.000,2.98,218.46,-2.33,-1.85
2022-05-20T01:22:00.000,3.38,234.27,-1.97,-2.74
2022-05-20T01:24:00.000,5.80,202.78,-5.34,-2.24
2022-05-20T01:26:00.000,2.44,238.29,-1.28,-2.08
2022-05-20T01:28:00.000,0.96,263.62,-0.11,-0.95
2022-05-20T01:30:00.000,2.83,231.35,-1.77,-2.21
2022-05-20T01:32:00.000,3.88,227.47,-2.62,-2.86
2022-05-20T01:34:00.000,2.07,290.37,0.72,-1.94
2022-05-20T01:36:00.000,0.94,285.22,0.25,-0.91
2022-05-20T01:38:00.000,1.66,292.19,0.63,-1.54
2022-05-20T01:40:00.000,1.23,326.49,1.03,-0.68
2022-05-20T01:42:00.000,1.29,253.10,-0.38,-1.24
2022-05-20T01:44:00.000,2.37,228.33,-1.57,-1.77
2022-05-20T01:46:00.000,1.56,264.90,-0.14,-1.56
2022-05-20T01:48:00.000,1.53,224.53,-1.09,-1.07
2022-05-20T01:50:00.000,1.19,285.65,0.32,-1.15
2022-05-20T01:52:00.000,1.48,244.54,-0.64,-1.34
2022-05-20T01:54:00.000,1.29,238.13,-0.68,-1.09
2022-05-20T01:56:00.000,1.79,293.92,0.72,-1.63
2022-05-20T01:58:00.000,1.09,272.06,0.04,-1.09
2022-05-20T02:00:00.000,1.88,198.24,-1.79,-0.59
2022-05-20T02:02:00.000,4.90,169.53,-4.82,0.89
2022-05-20T02:04:00.000,4.12,182.72,-4.12,-0.20
2022-05-20T02:06:00.000,2.66,191.96,-2.60,-0.55
2022-05-20T02:08:00.000,3.16,184.95,-3.15,-0.27
2022-05-20T02:10:00.000,3.57,194.50,-3.46,-0.89
2022-05-20T02:12:00.000,2.31,214.54,-1.91,-1.31
2022-05-20T02:14:00.000,1.64,232.33,-1.00,-1.30
2022-05-20T02:16:00.000,1.18,200.36,-1.10,-0.41
2022-05-20T02:18:00.000,1.30,227.99,-0.87,-0.96
2022-05-20T02:20:00.000,2.94,205.81,-2.65,-1.28
2022-05-20T02:22:00.000,1.66,197.15,-1.58,-0.49
2022-05-20T02:24:00.000,0.92,218.11,-0.72,-0.57
2022-05-20T02:26:00.000,1.22,183.20,-1.22,-0.07
2022-05-20T02:28:00.000,2.56,188.47,-2.53,-0.38
2022-05-20T02:30:00.000,1.66,238.55,-0.87,-1.42
2022-05-20T02:32:00.000,1.43,230.46,-0.91,-1.10
2022-05-20T02:34:00.000,1.53,238.39,-0.80,-1.30
2022-05-20T02:36:00.000,0.95,245.78,-0.39,-0.87
2022-05-20T02:38:00.000,3.37,191.22,-3.31,-0.66
2022-05-20T02:40:00.000,1.54,250.61,-0.51,-1.45
2022-05-20T02:42:00.000,1.86,193.51,-1.81,-0.43
2022-05-20T02:44:00.000,1.61,208.59,-1.41,-0.77
2022-05-20T02:46:00.000,1.48,16.43,1.42,0.42
2022-05-20T02:48:00.000,0.80,289.85,0.27,-0.75
2022-05-20T02:50:00.000,2.88,186.07,-2.86,-0.30
2022-05-20T02:52:00.000,0.55,188.37,-0.54,-0.08
2022-05-20T02:54:00.000,2.05,173.37,-2.04,0.24
2022-05-20T02:56:00.000,1.40,186.24,-1.39,-0.15
2022-05-20T02:58:00.000,1.79,169.43,-1.76,0.33
2022-05-20T03:00:00.000,0.81,355.38,0.80,-0.06
2022-05-20T03:02:00.000,3.20,146.75,-2.68,1.76
2022-05-20T03:04:00.000,3.53,191.24,-3.46,-0.69
2022-05-20T03:06:00.000,1.78,219.92,-1.36,-1.14
2022-05-20T03:08:00.000,0.73,283.89,0.18,-0.71
2022-05-20T03:10:00.000,1.03,199.95,-0.97,-0.35
2022-05-20T03:12:00.000,0.64,222.12,-0.47,-0.43
2022-05-20T03:14:00.000,1.90,230.72,-1.20,-1.47
2022-05-20T03:16:00.000,0.97,295.24,0.41,-0.88
2022-05-20T03:18:00.000,1.89,224.36,-1.35,-1.32
2022-05-20T03:20:00.000,2.13,258.42,-0.43,-2.09
2022-05-20T03:22:00.000,2.26,233.29,-1.35,-1.81
2022-05-20T03:24:00.000,2.44,192.10,-2.39,-0.51
2022-05-20T03:26:00.000,3.37,196.69,-3.23,-0.97
2022-05-20T03:28:00.000,1.60,237.26,-0.86,-1.34
2022-05-20T03:30:00.000,2.17,215.17,-1.78,-1.25
2022-05-20T03:32:00.000,2.57,231.49,-1.60,-2.01
2022-05-20T03:34:00.000,1.64,230.72,-1.04,-1.27
2022-05-20T03:36:00.000,1.27,249.71,-0.44,-1.19
2022-05-20T03:38:00.000,0.71,244.50,-0.31,-0.64
2022-05-20T03:40:00.000,2.33,244.71,-1.00,-2.11
2022-05-20T03:42:00.000,0.14,332.02,0.12,-0.07
2022-05-20T03:44:00.000,2.16,259.30,-0.40,-2.12
2022-05-20T03:46:00.000,1.81,292.29,0.69,-1.67
2022-05-20T03:48:00.000,0.75,272.99,0.04,-0.75
2022-05-20T03:50:00.000,1.32,250.52,-0.44,-1.24
2022-05-20T03:52:00.000,2.08,286.19,0.58,-1.99
2022-05-20T03:54:00.000,1.33,256.69,-0.31,-1.29
2022-05-20T03:56:00.000,1.65,280.23,0.29,-1.63
2022-05-20T03:58:00.000,1.51,221.91,-1.12,-1.01
2022-05-20T04:00:00.000,1.91,311.83,1.27,-1.42
2022-05-20T04:02:00.000,1.12,313.19,0.77,-0.82
2022-05-20T04:04:00.000,0.99,308.83,0.62,-0.77
2022-05-20T04:06:00.000,2.57,284.90,0.66,-2.49
2022-05-20T04:08:00.000,1.71,301.22,0.89,-1.46
2022-05-20T04:10:00.000,1.40,280.60,0.26,-1.37
2022-05-20T04:12:00.000,1.13,283.08,0.26,-1.10
2022-05-20T04:14:00.000,2.92,253.00,-0.85,-2.79
2022-05-20T04:16:00.000,1.02,258.13,-0.21,-1.00
2022-05-20T04:18:00.000,1.01,335.87,0.92,-0.41
2022-05-20T04:20:00.000,2.38,305.14,1.37,-1.94
2022-05-20T04:22:00.000,2.04,240.15,-1.02,-1.77
2022-05-20T04:24:00.000,1.32,275.51,0.13,-1.32
2022-05-20T04:26:00.000,0.97,257.62,-0.21,-0.95
2022-05-20T04:28:00.000,2.53,230.77,-1.60,-1.96
2022-05-20T04:30:00.000,1.44,256.15,-0.34,-1.40
2022-05-20T04:32:00.000,1.10,235.76,-0.62,-0.91
2022-05-20T04:34:00.000,1.94,235.55,-1.10,-1.60
2022-05-20T04:36:00.000,2.29,234.46,-1.33,-1.87
2022-05-20T04:38:00.000,3.07,229.71,-1.99,-2.34
2022-05-20T04:40:00.000,2.74,231.15,-1.72,-2.13
2022-05-20T04:42:00.000,2.12,237.96,-1.12,-1.79
2022-05-20T04:44:00.000,1.92,257.73,-0.41,-1.87
2022-05-20T04:46:00.000,2.08,227.78,-1.40,-1.54
2022-05-20T04:48:00.000,1.22,281.40,0.24,-1.20
2022-05-20T04:50:00.000,1.65,260.27,-0.28,-1.63
2022-05-20T04:52:00.000,1.38,334.04,1.24,-0.60
2022-05-20T04:54:00.000,1.58,255.46,-0.40,-1.52
2022-05-20T04:56:00.000,2.34,284.90,0.60,-2.26
2022-05-20T04:58:00.000,0.74,234.47,-0.43,-0.60
2022-05-20T05:00:00.000,1.60,221.96,-1.19,-1.07
2022-05-20T05:02:00.000,1.77,232.63,-1.07,-1.40
2022-05-20T05:04:00.000,1.60,227.59,-1.08,-1.18
2022-05-20T05:06:00.000,5.55,201.47,-5.17,-2.03
2022-05-20T05:08:00.000,1.73,229.69,-1.12,-1.32
2022-05-20T05:10:00.000,0.99,261.78,-0.14,-0.98
2022-05-20T05:12:00.000,3.78,203.62,-3.46,-1.51
2022-05-20T05:14:00.000,1.97,249.90,-0.68,-1.85
2022-05-20T05:16:00.000,1.68,251.22,-0.54,-1.59
2022-05-20T05:18:00.000,4.08,225.39,-2.86,-2.90
2022-05-20T05:20:00.000,2.45,214.09,-2.02,-1.37
2022-05-20T05:22:00.000,1.74,231.28,-1.09,-1.36
2022-05-20T05:24:00.000,3.68,202.54,-3.40,-1.41
2022-05-20T05:26:00.000,2.37,223.62,-1.72,-1.64
2022-05-20T05:28:00.000,2.59,204.88,-2.35,-1.09
2022-05-20T05:30:00.000,0.97,307.49,0.59,-0.77
2022-05-20T05:32:00.000,1.42,268.89,-0.03,-1.42
2022-05-20T05:34:00.000,1.32,229.55,-0.86,-1.01
2022-05-20T05:36:00.000,2.74,325.28,2.25,-1.56
2022-05-20T05:38:00.000,1.70,227.00,-1.16,-1.25
2022-05-20T05:40:00.000,0.48,256.50,-0.11,-0.46
2022-05-20T05:42:00.000,1.09,285.75,0.30,-1.05
2022-05-20T05:44:00.000,1.51,261.18,-0.23,-1.49
2022-05-20T05:46:00.000,1.39,222.15,-1.03,-0.93
2022-05-20T05:48:00.000,0.68,280.71,0.13,-0.66
2022-05-20T05:50:00.000,1.71,224.83,-1.21,-1.20
2022-05-20T05:52:00.000,1.23,237.69,-0.66,-1.04
2022-05-20T05:54:00.000,1.93,234.47,-1.12,-1.57
2022-05-20T05:56:00.000,2.00,236.74,-1.10,-1.67
2022-05-20T05:58:00.000,2.65,232.27,-1.62,-2.09
2022-05-20T06:00:00.000,2.13,276.94,0.26,-2.11
2022-05-20T06:02:00.000,2.21,295.83,0.96,-1.99
2022-05-20T06:04:00.000,2.51,267.82,-0.10,-2.51
2022-05-20T06:06:00.000,2.53,283.21,0.58,-2.46
2022-05-20T06:08:00.000,3.23,250.78,-1.06,-3.05
2022-05-20T06:10:00.000,1.61,291.62,0.59,-1.49
2022-05-20T06:12:00.000,1.11,313.79,0.77,-0.80
2022-05-20T06:14:00.000,0.61,263.17,-0.07,-0.61
2022-05-20T06:16:00.000,1.26,299.12,0.61,-1.10
2022-05-20T06:18:00.000,3.09,278.03,0.43,-3.06
2022-05-20T06:20:00.000,0.90,227.44,-0.61,-0.66
2022-05-20T06:22:00.000,1.94,294.45,0.80,-1.77
2022-05-20T06:24:00.000,1.37,255.10,-0.35,-1.33
2022-05-20T06:26:00.000,3.18,239.89,-1.60,-2.75
2022-05-20T06:28:00.000,2.68,240.48,-1.32,-2.34
2022-05-20T06:30:00.000,3.08,61.66,1.46,2.71
2022-05-20T06:32:00.000,3.77,261.59,-0.55,-3.73
2022-05-20T06:34:00.000,5.27,223.76,-3.81,-3.65
2022-05-20T06:36:00.000,2.55,194.45,-2.47,-0.64
2022-05-20T06:38:00.000,0.62,318.54,0.47,-0.41
2022-05-20T06:40:00.000,1.14,352.76,1.13,-0.14
2022-05-20T06:42:00.000,2.01,8.92,1.98,0.31
2022-05-20T06:44:00.000,1.16,309.01,0.73,-0.90
2022-05-20T06:46:00.000,1.55,317.76,1.14,-1.04
2022-05-20T06:48:00.000,1.74,308.30,1.08,-1.37
2022-05-20T06:50:00.000,1.82,270.85,0.03,-1.82
2022-05-20T06:52:00.000,2.24,210.22,-1.93,-1.13
2022-05-20T06:54:00.000,1.71,233.23,-1.03,-1.37
2022-05-20T06:56:00.000,1.70,324.27,1.38,-0.99
2022-05-20T06:58:00.000,1.06,279.98,0.18,-1.04
2022-05-20T07:00:00.000,1.43,223.39,-1.04,-0.99
2022-05-20T07:02:00.000,1.56,351.79,1.55,-0.22
2022-05-20T07:04:00.000,2.42,315.67,1.73,-1.69
2022-05-20T07:06:00.000,1.27,227.56,-0.86,-0.94
2022-05-20T07:08:00.000,3.07,196.50,-2.94,-0.87
2022-05-20T07:10:00.000,1.26,279.21,0.20,-1.24
2022-05-20T07:12:00.000,1.32,291.00,0.47,-1.23
2022-05-20T07:14:00.000,1.21,317.97,0.90,-0.81
2022-05-20T07:16:00.000,3.74,347.57,3.65,-0.80
2022-05-20T07:18:00.000,2.63,343.40,2.52,-0.75
2022-05-20T07:20:00.000,0.85,314.87,0.60,-0.60
2022-05-20T07:22:00.000,1.85,317.57,1.37,-1.25
2022-05-20T07:24:00.000,1.22,310.11,0.78,-0.93
2022-05-20T07:26:00.000,1.31,336.78,1.21,-0.52
2022-05-20T07:28:00.000,1.10,320.88,0.85,-0.69
2022-05-20T07:30:00.000,2.28,323.77,1.84,-1.34
2022-05-20T07:32:00.000,1.15,216.37,-0.93,-0.68
2022-05-20T07:34:00.000,2.72,324.47,2.22,-1.58
2022-05-20T07:36:00.000,0.58,351.78,0.57,-0.08
2022-05-20T07:38:00.000,3.24,223.03,-2.37,-2.21
2022-05-20T07:40:00.000,0.47,232.68,-0.28,-0.37
2022-05-20T07:42:00.000,1.22,150.86,-1.06,0.59
2022-05-20T07:44:00.000,1.44,261.98,-0.20,-1.43
2022-05-20T07:46:00.000,0.77,278.00,0.11,-0.77
2022-05-20T07:48:00.000,0.85,181.87,-0.85,-0.03
2022-05-20T07:50:00.000,1.53,357.03,1.53,-0.08
2022-05-20T07:52:00.000,1.27,325.68,1.05,-0.72
2022-05-20T07:54:00.000,1.69,294.02,0.69,-1.54
2022-05-20T07:56:00.000,1.44,315.10,1.02,-1.01
2022-05-20T07:58:00.000,0.71,189.74,-0.70,-0.12
2022-05-20T08:00:00.000,2.26,184.37,-2.25,-0.17
2022-05-20T08:02:00.000,0.44,13.94,0.43,0.11
2022-05-20T08:04:00.000,1.09,225.97,-0.76,-0.78
2022-05-20T08:06:00.000,1.84,281.87,0.38,-1.80
2022-05-20T08:08:00.000,1.82,231.01,-1.14,-1.41
2022-05-20T08:10:00.000,1.83,242.73,-0.84,-1.63
2022-05-20T08:12:00.000,1.28,223.02,-0.93,-0.87
2022-05-20T08:14:00.000,5.81,192.07,-5.69,-1.22
2022-05-20T08:16:00.000,3.98,214.24,-3.29,-2.24
2022-05-20T08:18:00.000,3.08,244.64,-1.32,-2.78
2022-05-20T08:20:00.000,4.53,217.72,-3.58,-2.77
2022-05-20T08:22:00.000,3.38,229.55,-2.19,-2.57
2022-05-20T08:24:00.000,0.76,332.86,0.68,-0.35
2022-05-20T08:26:00.000,1.53,259.56,-0.28,-1.50
2022-05-20T08:28:00.000,2.61,286.47,0.74,-2.51
2022-05-20T08:30:00.000,0.83,300.54,0.42,-0.71
2022-05-20T08:32:00.000,2.09,221.56,-1.56,-1.39
2022-05-20T08:34:00.000,1.81,303.32,0.99,-1.51
2022-05-20T08:36:00.000,1.84,310.27,1.19,-1.41
2022-05-20T08:38:00.000,0.38,208.53,-0.34,-0.18
2022-05-20T08:40:00.000,1.42,304.14,0.80,-1.17
2022-05-20T08:42:00.000,2.30,336.08,2.10,-0.93
2022-05-20T08:44:00.000,0.84,325.70,0.69,-0.47
2022-05-20T08:46:00.000,2.55,330.87,2.23,-1.24
2022-05-20T08:48:00.000,0.38,296.90,0.17,-0.34
2022-05-20T08:50:00.000,2.65,349.54,2.61,-0.48
2022-05-20T08:52:00.000,2.79,335.59,2.54,-1.15
2022-05-20T08:54:00.000,2.85,227.94,-1.91,-2.12
2022-05-20T08:56:00.000,2.14,238.53,-1.12,-1.82
2022-05-20T08:58:00.000,2.59,346.41,2.51,-0.61
2022-05-20T09:00:00.000,1.55,31.08,1.33,0.80
2022-05-20T09:02:00.000,1.71,303.12,0.93,-1.43
2022-05-20T09:04:00.000,1.84,305.51,1.07,-1.50
2022-05-20T09:06:00.000,2.04,299.74,1.01,-1.77
2022-05-20T09:08:00.000,1.61,311.68,1.07,-1.20
2022-05-20T09:10:00.000,1.10,266.90,-0.06,-1.10
2022-05-20T09:12:00.000,0.56,295.93,0.24,-0.50
2022-05-20T09:14:00.000,1.79,304.15,1.00,-1.48
2022-05-20T09:16:00.000,2.17,291.35,0.79,-2.02
2022-05-20T09:18:00.000,1.25,320.60,0.97,-0.80
2022-05-20T09:20:00.000,1.48,39.19,1.15,0.94
2022-05-20T09:22:00.000,0.55,307.74,0.34,-0.43
2022-05-20T09:24:00.000,1.84,6.77,1.83,0.22
2022-05-20T09:26:00.000,1.86,336.35,1.70,-0.74
2022-05-20T09:28:00.000,2.26,338.23,2.10,-0.84
2022-05-20T09:30:00.000,2.01,314.46,1.41,-1.43
2022-05-20T09:32:00.000,1.02,273.21,0.06,-1.01
2022-05-20T09:34:00.000,2.73,293.48,1.09,-2.50
2022-05-20T09:36:00.000,1.40,337.90,1.29,-0.52
2022-05-20T09:38:00.000,0.48,18.06,0.46,0.15
2022-05-20T09:40:00.000,1.27,319.01,0.96,-0.84
2022-05-20T09:42:00.000,1.59,343.03,1.52,-0.46
2022-05-20T09:44:00.000,1.60,245.08,-0.67,-1.45
2022-05-20T09:46:00.000,0.33,35.03,0.27,0.19
2022-05-20T09:48:00.000,1.60,3.57,1.60,0.10
2022-05-20T09:50:00.000,1.84,338.24,1.71,-0.68
2022-05-20T09:52:00.000,1.96,322.24,1.55,-1.20
2022-05-20T09:54:00.000,1.98,330.39,1.72,-0.98
2022-05-20T09:56:00.000,1.27,318.24,0.95,-0.85
2022-05-20T09:58:00.000,1.02,279.74,0.17,-1.00
2022-05-20T10:00:00.000,2.88,326.12,2.39,-1.60
2022-05-20T10:02:00.000,1.72,265.09,-0.15,-1.71
2022-05-20T10:04:00.000,1.23,272.64,0.06,-1.23
2022-05-20T10:06:00.000,0.74,160.53,-0.70,0.25
2022-05-20T10:08:00.000,0.78,29.16,0.68,0.38
2022-05-20T10:10:00.000,0.98,281.82,0.20,-0.96
2022-05-20T10:12:00.000,2.86,354.66,2.85,-0.27
2022-05-20T10:14:00.000,1.86,349.89,1.83,-0.33
2022-05-20T10:16:00.000,2.19,329.07,1.88,-1.13
2022-05-20T10:18:00.000,0.77,28.11,0.68,0.36
2022-05-20T10:20:00.000,1.10,249.06,-0.39,-1.02
2022-05-20T10:22:00.000,1.06,334.50,0.95,-0.46
2022-05-20T10:24:00.000,2.15,322.77,1.71,-1.30
2022-05-20T10:26:00.000,0.70,342.54,0.66,-0.21
2022-05-20T10:28:00.000,2.34,217.57,-1.86,-1.43
2022-05-20T10:30:00.000,2.26,289.16,0.74,-2.14
2022-05-20T10:32:00.000,1.77,330.86,1.54,-0.86
2022-05-20T10:34:00.000,0.78,326.58,0.65,-0.43
2022-05-20T10:36:00.000,1.11,326.23,0.92,-0.62
2022-05-20T10:38:00.000,0.93,15.63,0.90,0.25
2022-05-20T10:40:00.000,1.22,2.12,1.22,0.05
2022-05-20T10:42:00.000,0.66,236.50,-0.37,-0.55
2022-05-20T10:44:00.000,1.38,322.39,1.10,-0.85
2022-05-20T10:46:00.000,1.64,321.75,1.29,-1.01
2022-05-20T10:48:00.000,1.53,271.49,0.04,-1.53
2022-05-20T10:50:00.000,1.77,313.29,1.21,-1.29
2022-05-20T10:52:00.000,1.36,273.77,0.09,-1.36
2022-05-20T10:54:00.000,1.72,295.46,0.74,-1.55
2022-05-20T10:56:00.000,1.93,274.86,0.16,-1.92
2022-05-20T10:58:00.000,1.35,273.10,0.07,-1.35
2022-05-20T11:00:00.000,2.03,298.07,0.95,-1.79
2022-05-20T11:02:00.000,2.78,324.35,2.26,-1.62
2022-05-20T11:04:00.000,0.92,230.76,-0.58,-0.71
2022-05-20T11:06:00.000,1.75,316.91,1.28,-1.19
2022-05-20T11:08:00.000,0.57,325.67,0.47,-0.32
2022-05-20T11:10:00.000,1.55,295.70,0.67,-1.40
2022-05-20T11:12:00.000,1.43,335.05,1.30,-0.61
2022-05-20T11:14:00.000,1.07,289.63,0.36,-1.01
2022-05-20T11:16:00.000,2.79,224.51,-1.99,-1.96
2022-05-20T11:18:00.000,1.32,243.88,-0.58,-1.18
2022-05-20T11:20:00.000,1.67,253.08,-0.49,-1.60
2022-05-20T11:22:00.000,4.15,227.28,-2.81,-3.05
2022-05-20T11:24:00.000,3.72,317.19,2.73,-2.53
2022-05-20T11:26:00.000,3.90,240.06,-1.95,-3.38
2022-05-20T11:28:00.000,9.51,223.76,-6.87,-6.58
2022-05-20T11:30:00.000,5.01,242.29,-2.33,-4.43
2022-05-20T11:32:00.000,4.86,231.13,-3.05,-3.79
2022-05-20T11:34:00.000,10.96,217.96,-8.64,-6.74
2022-05-20T11:36:00.000,5.30,253.45,-1.51,-5.08
2022-05-20T11:38:00.000,5.71,238.76,-2.96,-4.88
2022-05-20T11:40:00.000,10.23,219.65,-7.88,-6.53
2022-05-20T11:42:00.000,8.66,228.25,-5.76,-6.46
2022-05-20T11:44:00.000,7.72,226.56,-5.31,-5.61
2022-05-20T11:46:00.000,7.29,226.22,-5.04,-5.26
2022-05-20T11:48:00.000,5.23,227.69,-3.52,-3.87
2022-05-20T11:50:00.000,6.70,216.74,-5.37,-4.01
2022-05-20T11:52:00.000,8.19,222.76,-6.01,-5.56
2022-05-20T11:54:00.000,5.51,225.35,-3.87,-3.92
2022-05-20T11:56:00.000,3.70,237.26,-2.00,-3.11
2022-05-20T11:58:00.000,1.57,276.44,0.18,-1.56
2022-05-20T12:00:00.000,2.82,241.31,-1.35,-2.47
2022-05-20T12:02:00.000,1.48,341.41,1.40,-0.47
2022-05-20T12:04:00.000,2.34,339.41,2.19,-0.82
2022-05-20T12:06:00.000,1.20,315.63,0.86,-0.84
2022-05-20T12:08:00.000,2.18,330.24,1.90,-1.08
2022-05-20T12:10:00.000,3.00,20.09,2.81,1.03
2022-05-20T12:12:00.000,7.77,5.42,7.74,0.73
2022-05-20T12:14:00.000,0.67,18.21,0.63,0.21
2022-05-20T12:16:00.000,4.63,13.70,4.50,1.10
2022-05-20T12:18:00.000,7.14,40.39,5.44,4.63
2022-05-20T12:20:00.000,6.28,47.42,4.25,4.63
2022-05-20T12:22:00.000,7.34,40.99,5.54,4.82
2022-05-20T12:24:00.000,8.34,32.66,7.02,4.50
2022-05-20T12:26:00.000,6.19,41.49,4.63,4.10
2022-05-20T12:28:00.000,4.33,37.96,3.41,2.66
2022-05-20T12:30:00.000,4.94,21.51,4.59,1.81
2022-05-20T12:32:00.000,1.31,45.44,0.92,0.93
2022-05-20T12:34:00.000,0.44,285.22,0.11,-0.42
