date,temp
2020-05-13T00:00:00Z,6.779992676
2020-05-14T00:00:00Z,6.881005859
2020-05-15T00:00:00Z,7.10100708
2020-05-16T00:00:00Z,7.118005371
2020-05-17T00:00:00Z,9.528985596
2020-05-18T00:00:00Z,9.778009033
2020-05-19T00:00:00Z,9.876000977
2020-05-20T00:00:00Z,9.92699585
2020-05-21T00:00:00Z,10.0710083
2020-05-22T00:00:00Z,10.2499939
2020-05-23T00:00:00Z,10.13201294
2020-05-24T00:00:00Z,10.1539856
2020-05-25T00:00:00Z,10.2210022
2020-05-26T00:00:00Z,9.822991943
2020-05-27T00:00:00Z,9.812005615
2020-05-28T00:00:00Z,10.79400024
2020-05-29T00:00:00Z,11.86998901
2020-05-30T00:00:00Z,11.19100342
2020-05-31T00:00:00Z,10.9460083
2020-06-01T00:00:00Z,10.94799194
2020-06-02T00:00:00Z,11.19399414
2020-06-03T00:00:00Z,11.48000488
2020-06-04T00:00:00Z,11.46300659
2020-06-05T00:00:00Z,11.62600098
2020-06-06T00:00:00Z,12.40700684
2020-06-07T00:00:00Z,12.5710083
2020-06-08T00:00:00Z,12.49498901
2020-06-09T00:00:00Z,11.97701416
2020-06-10T00:00:00Z,11.85100708
2020-06-11T00:00:00Z,12.35500488
2020-06-12T00:00:00Z,13.15700684
2020-06-13T00:00:00Z,13.2289978
2020-06-14T00:00:00Z,12.94899902
2020-06-15T00:00:00Z,13.01000366
2020-06-16T00:00:00Z,13.61901245
2020-06-17T00:00:00Z,14.69399414
2020-06-18T00:00:00Z,14.44799194
2020-06-19T00:00:00Z,14.8869873
2020-06-20T00:00:00Z,15.2619873
2020-06-21T00:00:00Z,15.48500977
2020-06-22T00:00:00Z,16.27199707
2020-06-23T00:00:00Z,16.53099976
2020-06-24T00:00:00Z,15.975
2020-06-25T00:00:00Z,16.23800049
2020-06-26T00:00:00Z,16.14000854
2020-06-27T00:00:00Z,15.78499756
2020-06-28T00:00:00Z,15.84899292
2020-06-29T00:00:00Z,16.17800293
2020-06-30T00:00:00Z,16.04100952
2020-07-01T00:00:00Z,16.9999939
2020-07-02T00:00:00Z,16.91298828
